strategy,target,guessCount,duration,success
linear,234,234,2,TRUE
quadProb,234,104,1,TRUE
randSampling,2825,438,1,TRUE
linear,2825,2825,0,TRUE
quadProb,2825,3001,0,FALSE
randSampling,2172,1871,1,TRUE
linear,2172,2172,1,TRUE
quadProb,2172,3001,0,FALSE
randSampling,1096,446,1,TRUE
linear,1096,1096,1,TRUE
quadProb,1096,3001,0,FALSE
randSampling,741,1003,1,TRUE
linear,741,741,0,TRUE
quadProb,741,3001,0,FALSE
randSampling,411,917,1,TRUE
linear,411,411,0,TRUE
quadProb,411,68,0,TRUE
randSampling,1411,257,1,TRUE
linear,1411,1411,1,TRUE
quadProb,1411,3001,0,FALSE
randSampling,620,2249,1,TRUE
linear,620,620,1,TRUE
quadProb,620,35,0,TRUE
randSampling,1382,1363,1,TRUE
linear,1382,1382,0,TRUE
quadProb,1382,3001,0,FALSE
randSampling,353,2196,1,TRUE
linear,353,353,1,TRUE
quadProb,353,3001,0,FALSE
randSampling,2155,156,1,TRUE
linear,2155,2155,1,TRUE
quadProb,2155,3001,0,FALSE
randSampling,2072,852,1,TRUE
linear,2072,2072,0,TRUE
quadProb,2072,3001,0,FALSE
randSampling,2444,1877,1,TRUE
linear,2444,2444,0,TRUE
quadProb,2444,3001,0,FALSE
randSampling,1472,1352,3,TRUE
linear,1472,1472,1,TRUE
quadProb,1472,3001,0,FALSE
randSampling,2932,2387,1,TRUE
linear,2932,2932,0,TRUE
quadProb,2932,3001,0,FALSE
randSampling,2562,2454,1,TRUE
linear,2562,2562,0,TRUE
quadProb,2562,3001,0,FALSE
randSampling,2214,562,1,TRUE
linear,2214,2214,2,TRUE
quadProb,2214,3001,0,FALSE
randSampling,2410,2641,1,TRUE
linear,2410,2410,0,TRUE
quadProb,2410,3001,0,FALSE
randSampling,2442,1826,1,TRUE
linear,2442,2442,0,TRUE
quadProb,2442,225,1,TRUE
randSampling,1847,251,1,TRUE
linear,1847,1847,4,TRUE
quadProb,1847,3001,0,FALSE
randSampling,607,302,1,TRUE
linear,607,607,1,TRUE
quadProb,607,3001,0,FALSE
randSampling,2880,1636,1,TRUE
linear,2880,2880,0,TRUE
quadProb,2880,357,1,TRUE
randSampling,2965,1752,1,TRUE
linear,2965,2965,0,TRUE
quadProb,2965,3001,0,FALSE
randSampling,1121,345,1,TRUE
linear,1121,1121,1,TRUE
quadProb,1121,3001,0,FALSE
randSampling,2353,2544,1,TRUE
linear,2353,2353,0,TRUE
quadProb,2353,3001,0,FALSE
randSampling,1326,958,4,TRUE
linear,1326,1326,1,TRUE
quadProb,1326,45,1,TRUE
randSampling,865,2246,1,TRUE
linear,865,865,0,TRUE
quadProb,865,3001,0,FALSE
randSampling,1097,2170,1,TRUE
linear,1097,1097,1,TRUE
quadProb,1097,89,0,TRUE
randSampling,1095,1893,1,TRUE
linear,1095,1095,1,TRUE
